Game,Date,Opponent,Projection,Reception,WalkOff,Nodal,Echo,Collapse,Octave,Resonance,Neutron,Proton,Electron
1,2025-03-18,CHC,4,1,No,No,No,No,Octave 1,0.25,2.0,2.5,-1.5
2,2025-03-19,CHC,6,3,No,No,No,No,Octave 1,0.5,4.242640687119285,4.5,-1.5
3,2025-03-27,DET,5,4,No,No,No,No,Octave 1,0.8,4.47213595499958,4.5,-0.5
4,2025-03-28,DET,8,5,No,No,No,No,Octave 1,0.625,6.324555320336758,6.5,-1.5
5,2025-03-29,DET,7,3,No,No,No,No,Octave 1,0.4285714285714286,4.58257569495584,5.0,-2.0
6,2025-03-31,ATL,6,1,No,No,No,No,Octave 1,0.16666666666666663,2.449489742783178,3.5,-2.5
7,2025-04-01,ATL,3,1,No,No,No,No,Octave 1,0.33333333333333337,1.7320508075688772,2.0,-1.0
8,2025-04-02,ATL,6,5,No,No,No,No,Octave 1,0.8333333333333334,5.477225575051661,5.5,-0.5
9,2025-04-03,PHI,9,11,Yes,No,No,Yes,Octave 1,0.8181818181818181,9.9498743710662,10.0,1.0
10,2025-04-04,PHI,4,5,No,No,No,No,Octave 1,0.8,4.47213595499958,4.5,0.5
11,2025-04-05,PHI,3,2,No,No,No,No,Octave 1,0.6666666666666667,2.449489742783178,2.5,-0.5
12,2025-04-06,WSH,5,7,No,No,No,No,Octave 1,0.7142857142857143,5.916079783099616,6.0,1.0
13,2025-04-07,WSH,6,5,No,No,No,No,Octave 1,0.8333333333333334,5.477225575051661,5.5,-0.5
14,2025-04-08,WSH,13,7,No,No,No,No,Octave 1,0.5384615384615384,9.539392014169456,10.0,-3.0
15,2025-04-11,CHC,3,0,No,No,No,No,Octave 1,0.0,0.0,1.5,-1.5
16,2025-04-12,CHC,0,16,No,No,No,Yes,Octave 1,0.0,0.0,8.0,8.0
17,2025-04-13,CHC,2,4,No,No,No,No,Octave 1,0.5,2.8284271247461903,3.0,1.0
18,2025-04-14,COL,4,1,No,No,No,No,Octave 1,0.25,2.0,2.5,-1.5
19,2025-04-15,COL,6,2,No,No,No,No,Octave 2,0.33333333333333337,3.4641016151377544,4.0,-2.0
20,2025-04-16,COL,8,7,No,Yes,No,No,Octave 2,0.875,7.483314773547883,7.5,-0.5
21,2025-04-18,TEX,3,0,No,Yes,No,No,Octave 2,0.0,0.0,1.5,-1.5
