Game,Date,Opponent,Projection,Reception,WalkOff,Nodal,Echo,Collapse
55,2025-05-30,COL,3,4,No,No,No,No
56,2025-05-31,COL,5,3,No,No,No,No
57,2025-06-01,COL,2,6,No,No,No,No
58,2025-06-03,PIT,8,2,No,No,No,No
59,2025-06-04,PIT,7,1,No,No,No,No
60,2025-06-05,PIT,6,6,No,Yes,No,No
61,2025-06-06,SDP,5,5,No,Yes,Yes,No
62,2025-06-07,SDP,4,3,No,No,No,No
63,2025-06-08,SDP,3,1,No,No,No,No
64,2025-06-10,LAA,9,4,No,No,No,No
65,2025-06-11,LAA,8,2,No,No,No,No
66,2025-06-12,LAA,10,5,No,No,No,No
67,2025-06-14,KCR,5,7,No,No,No,Yes
68,2025-06-15,KCR,6,4,No,No,No,No
69,2025-06-16,KCR,5,5,No,Yes,Yes,No
70,2025-06-17,KCR,3,2,No,No,No,No
71,2025-06-18,KCR,2,1,No,No,No,No
72,2025-06-19,KCR,3,3,No,Yes,Yes,No
